Year,Value_Gold,Value_Silver
1915,19.25,0.51
1916,19.47,0.67
1917,19.66,0.84
1918,19.84,0.98
1919,20.03,1.13
1920,20.63,1.03
1921,20.69,0.63
1922,20.84,0.68
1923,20.75,0.65
1924,20.78,0.67
1925,20.75,0.69
1926,20.72,0.62
1927,20.75,0.57
1928,20.78,0.58
1929,20.72,0.53
1930,20.69,0.38000000000000006
1931,22.59,0.29
1932,20.78,0.28
1933,26.47,0.3499999999999999
1934,35.0,0.48
1935,35.0,0.64
1936,35.0,0.45
1937,35.0,0.45
1938,35.0,0.43
1939,34.69,0.38999999999999996
1940,34.06,0.3499999999999999
1941,34.06,0.3499999999999999
1942,34.06,0.38000000000000006
1943,34.06,0.45
1944,34.06,0.45
1945,35.0,0.52
1946,35.0,0.8000000000000002
1947,35.0,0.7200000000000001
1948,35.0,0.7399999999999999
1949,31.88,0.7200000000000001
1950,35.0,0.7399999999999999
1951,35.0,0.89
1952,34.69,0.85
1953,35.0,0.85
1954,35.31,0.85
1955,35.31,0.89
1956,35.31,0.92
1957,35.0,0.92
1958,35.31,0.89
1959,35.31,0.92
1960,35.31,0.92
1961,35.31,0.93
1962,35.31,1.09
1963,35.31,1.29225
1964,35.31,1.2982500000000001
1965,35.31,1.2951666666666666
1966,35.31,1.2975833333333333
1967,35.31,1.65825
1968,40.2025,2.1875
1969,40.839166666666664,1.7983333333333331
1970,35.98583333333333,1.7516666666666667
1971,40.96666666666666,1.5183333333333333
1972,59.096666666666664,1.6975
1973,99.95416666666667,2.5908333333333333
1974,161.67916666666667,4.7508333333333335
1975,160.4125,4.420833333333333
1976,123.79166666666667,4.3425
1977,148.95000000000002,4.6466666666666665
1978,196.79583333333335,5.498333333333334
1979,320.97499999999997,12.521666666666667
1980,607.7624999999999,19.475833333333334
1981,449.5833333333333,10.01
1982,376.1125,7.930833333333333
1983,419.3958333333333,11.330833333333333
1984,358.12083333333334,8.060833333333333
1985,320.8333333333333,6.164166666666667
1986,368.22499999999997,5.3975
1987,451.0916666666667,7.052499999999999
1988,432.21250000000003,6.4175
1989,380.1166666666666,5.4191666666666665
1990,383.9041666666667,4.761666666666667
1991,358.9375,3.9925
1992,343.2291666666667,3.92
1993,363.9458333333334,4.41
1994,384.6375,5.301666666666667
1995,383.7625,5.203333333333333
1996,386.25416666666666,5.1475
1997,329.3333333333333,4.998333333333334
1998,294.19166666666666,5.501666666666666
1999,280.59583333333336,5.28
2000,276.675,4.905
2001,271.1333333333333,4.386666666666667
2002,312.8625,4.6049999999999995
2003,367.625,4.948333333333333
2004,409.80833333333334,6.6866666666666665
2005,448.9791666666667,7.391666666666667
2006,611.5375,11.834166666666667
2007,704.6750000000001,13.512500000000001
2008,880.2083333333334,14.975833333333334
2009,982.6458333333334,14.770000000000001
2010,1230.75,20.51
2011,1567.9583333333333,35.556666666666665
2012,1679.8333333333333,31.626666666666665
2013,1399.5625,23.53
2014,1256.25,18.75916666666667
2015,1151.9458333333334,15.514166666666668
2016,1249.9750000000001,17.13266666666667
2017,1269.3375,17.235516666666665
2018,1265.6000000000001,15.637616666666666
2019,1405.325,16.3618
2020,1784.6575,20.796133333333334
2021,1792.7316666666666,24.96813333333333
2022,1798.956575,21.671766666666667
2023,1953.6885166666668,23.579674999999998
2024,2404.577566666667,28.128033333333335
2025,3472.540975,41.5015
2026,4881.6198,96.0832
